"created_at","entity_type","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-05-06T12:21:55.624Z","Url","TLP:CLEAR","http://metmsklegn.gitbook.io/","2024-05-06T12:21:55.826Z","http://metmsklegn.gitbook.io/","OpenPhish URL",""
"2024-05-06T12:21:55.664Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/f2010775-301e-463d-b724-5c460729cc89","2024-05-06T12:21:56.106Z","https://ch-dcf.pages.dev/f2010775-301e-463d-b724-5c460729cc89","OpenPhish URL",""
"2024-05-06T12:21:55.839Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/63e7afad-6df1-4d86-90a1-c48881cb2ab9","2024-05-06T12:21:56.287Z","https://piv-cfe.pages.dev/63e7afad-6df1-4d86-90a1-c48881cb2ab9","OpenPhish URL",""
"2024-05-06T12:21:56.493Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/740a4bf1-6688-463e-93dd-a3369763ba1a","2024-05-06T12:21:56.612Z","https://ch-dcf.pages.dev/740a4bf1-6688-463e-93dd-a3369763ba1a","OpenPhish URL",""
"2024-05-06T12:21:56.500Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/13e96c6d-859b-4415-a379-a40fe59455c4","2024-05-06T12:21:56.614Z","https://ch-dcf.pages.dev/13e96c6d-859b-4415-a379-a40fe59455c4","OpenPhish URL",""
"2024-05-06T12:21:56.508Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/1cc67882-914a-4946-8fc8-c4e500ae7586","2024-05-06T12:21:56.615Z","https://piv-cfe.pages.dev/1cc67882-914a-4946-8fc8-c4e500ae7586","OpenPhish URL",""
"2024-05-06T12:21:57.111Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/fb6229a4-65e6-41b6-9f46-220b52275fd2","2024-05-06T12:21:57.210Z","https://piv-cfe.pages.dev/fb6229a4-65e6-41b6-9f46-220b52275fd2","OpenPhish URL",""
"2024-05-06T12:21:57.174Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/b3f56013-7cce-479a-a29d-0efc09cc3a74","2024-05-06T12:21:57.264Z","https://sde-b9l.pages.dev/b3f56013-7cce-479a-a29d-0efc09cc3a74","OpenPhish URL",""
"2024-05-06T12:21:57.186Z","Url","TLP:CLEAR","https://mystery-claim68.vercel.app/","2024-05-06T12:21:57.279Z","https://mystery-claim68.vercel.app/","OpenPhish URL",""
"2024-05-06T12:21:58.017Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/f3b8e2cf-914e-41d0-bce5-5116a21eaa72","2024-05-06T12:21:58.103Z","https://piv-cfe.pages.dev/f3b8e2cf-914e-41d0-bce5-5116a21eaa72","OpenPhish URL",""
"2024-05-06T12:21:58.139Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/5d9f4db9-df99-4bf5-9b44-92780c7de4b2","2024-05-06T12:21:58.246Z","https://sde-b9l.pages.dev/5d9f4db9-df99-4bf5-9b44-92780c7de4b2","OpenPhish URL",""
"2024-05-06T12:21:58.263Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/1af6315e-d0e5-4563-ac3e-e3eaa6dfb39e","2024-05-06T12:21:58.532Z","https://sde-b9l.pages.dev/1af6315e-d0e5-4563-ac3e-e3eaa6dfb39e","OpenPhish URL",""
"2024-05-06T12:21:58.820Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/cdac83cf-80e0-4c73-ba8d-fcfaa5a63c03","2024-05-06T12:21:58.862Z","https://sde-b9l.pages.dev/cdac83cf-80e0-4c73-ba8d-fcfaa5a63c03","OpenPhish URL",""
"2024-05-06T12:21:58.887Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/30a53178-c2e0-462d-a1a6-d9200646b47b","2024-05-06T12:21:58.921Z","https://ch-dcf.pages.dev/30a53178-c2e0-462d-a1a6-d9200646b47b","OpenPhish URL",""
"2024-05-06T12:21:58.972Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/eefa6634-12f6-4197-8d26-bf9a477a02aa","2024-05-06T12:21:59.011Z","https://sde-b9l.pages.dev/eefa6634-12f6-4197-8d26-bf9a477a02aa","OpenPhish URL",""
"2024-05-06T12:21:59.041Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/eac7e638-874c-4c26-85f7-12cfceda0088","2024-05-06T12:21:59.111Z","https://ch-dcf.pages.dev/eac7e638-874c-4c26-85f7-12cfceda0088","OpenPhish URL",""
"2024-05-06T12:21:59.057Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/62202c7b-908c-45df-b43d-fd57fa12b294","2024-05-06T12:21:59.123Z","https://sde-b9l.pages.dev/62202c7b-908c-45df-b43d-fd57fa12b294","OpenPhish URL",""
"2024-05-06T12:21:59.355Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/7e7ff71a-d57f-4d2f-9144-b187aaefd902","2024-05-06T12:21:59.411Z","https://ch-dcf.pages.dev/7e7ff71a-d57f-4d2f-9144-b187aaefd902","OpenPhish URL",""
"2024-05-06T12:21:59.458Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/7a974fe6-2c39-46fa-bc61-91d2de33eb90","2024-05-06T12:21:59.488Z","https://sde-b9l.pages.dev/7a974fe6-2c39-46fa-bc61-91d2de33eb90","OpenPhish URL",""
"2024-05-06T12:21:59.458Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/3435732e-df6b-46f9-bb74-e1212c25366e","2024-05-06T12:21:59.498Z","https://ch-dcf.pages.dev/3435732e-df6b-46f9-bb74-e1212c25366e","OpenPhish URL",""
"2024-05-06T12:21:59.504Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/4543b96b-d0a6-4727-a95e-c4d8e93dee02","2024-05-06T12:21:59.528Z","https://ch-dcf.pages.dev/4543b96b-d0a6-4727-a95e-c4d8e93dee02","OpenPhish URL",""
"2024-05-06T12:21:59.841Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/b8580493-d6a9-4ab2-a726-e07957c1724a","2024-05-06T12:21:59.878Z","https://piv-cfe.pages.dev/b8580493-d6a9-4ab2-a726-e07957c1724a","OpenPhish URL",""
"2024-05-06T12:21:59.920Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/1257d3d8-e1eb-4c99-b4f6-65330e22524e","2024-05-06T12:21:59.958Z","https://ch-dcf.pages.dev/1257d3d8-e1eb-4c99-b4f6-65330e22524e","OpenPhish URL",""
"2024-05-06T12:21:59.922Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/f0cbbd4f-b72b-4c1e-9357-61eb963b50d3","2024-05-06T12:21:59.976Z","https://sde-b9l.pages.dev/f0cbbd4f-b72b-4c1e-9357-61eb963b50d3","OpenPhish URL",""
"2024-05-06T12:22:00.008Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/14e03ae2-46ab-4918-891f-51fcfe35f7b0","2024-05-06T12:22:00.052Z","https://sde-b9l.pages.dev/14e03ae2-46ab-4918-891f-51fcfe35f7b0","OpenPhish URL",""
"2024-05-06T12:22:00.375Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/0f54d716-5e4a-4268-b120-700c99956f47","2024-05-06T12:22:00.418Z","https://sde-b9l.pages.dev/0f54d716-5e4a-4268-b120-700c99956f47","OpenPhish URL",""
"2024-05-06T12:22:00.415Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/cb1617c5-408f-41bd-9e4f-b37e56cecbbd","2024-05-06T12:22:00.450Z","https://sde-b9l.pages.dev/cb1617c5-408f-41bd-9e4f-b37e56cecbbd","OpenPhish URL",""
"2024-05-06T12:22:00.469Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/18130e74-ce2a-4d21-9118-122bd09cbc16","2024-05-06T12:22:00.587Z","https://piv-cfe.pages.dev/18130e74-ce2a-4d21-9118-122bd09cbc16","OpenPhish URL",""
"2024-05-06T12:22:00.635Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/a8f6e81b-a58e-4f03-baf2-5c014d0494f8","2024-05-06T12:22:00.723Z","https://ch-dcf.pages.dev/a8f6e81b-a58e-4f03-baf2-5c014d0494f8","OpenPhish URL",""
"2024-05-06T12:22:01.115Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/8bc209de-88aa-4e6e-8c59-9c370d504588","2024-05-06T12:22:01.171Z","https://piv-cfe.pages.dev/8bc209de-88aa-4e6e-8c59-9c370d504588","OpenPhish URL",""
"2024-05-06T12:22:01.155Z","Url","TLP:CLEAR","https://www.brandmuseagency.co.za/","2024-05-06T12:22:01.213Z","https://www.brandmuseagency.co.za/","OpenPhish URL",""
"2024-05-06T12:22:01.268Z","Url","TLP:CLEAR","https://spreadthepositive.net/wp-content/plugins/010//lll/SBB/index/","2024-05-06T12:22:01.349Z","https://spreadthepositive.net/wp-content/plugins/010//lll/SBB/index/","OpenPhish URL",""
"2024-05-06T12:22:01.417Z","Url","TLP:CLEAR","https://ietcamilonamenfrayja.edu.co/wp-admin/maint/cap/en/","2024-05-06T12:22:01.491Z","https://ietcamilonamenfrayja.edu.co/wp-admin/maint/cap/en/","OpenPhish URL",""
"2024-05-06T12:22:01.765Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/3cd0b28f-a607-4105-a752-c37d69e203c0","2024-05-06T12:22:02.049Z","https://ch-dcf.pages.dev/3cd0b28f-a607-4105-a752-c37d69e203c0","OpenPhish URL",""
"2024-05-06T12:22:02.269Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/c1639731-b405-40b3-a984-2ffec9b3b0ae","2024-05-06T12:22:02.380Z","https://piv-cfe.pages.dev/c1639731-b405-40b3-a984-2ffec9b3b0ae","OpenPhish URL",""
"2024-05-06T12:22:02.830Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/4efecd54-8ebc-4b34-a154-65054326493e","2024-05-06T12:22:02.905Z","https://piv-cfe.pages.dev/4efecd54-8ebc-4b34-a154-65054326493e","OpenPhish URL",""
"2024-05-06T12:22:02.837Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/7b4c3c95-68c1-424b-8929-4bba35f34b94","2024-05-06T12:22:02.938Z","https://sde-b9l.pages.dev/7b4c3c95-68c1-424b-8929-4bba35f34b94","OpenPhish URL",""
"2024-05-06T12:22:02.928Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/3742fc08-df26-4a86-bd84-a6f962092c5a","2024-05-06T12:22:03.022Z","https://ch-dcf.pages.dev/3742fc08-df26-4a86-bd84-a6f962092c5a","OpenPhish URL",""
"2024-05-06T12:22:03.433Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/93c4ae53-de39-411b-9d0a-162afe5e8cc5","2024-05-06T12:22:03.694Z","https://ch-dcf.pages.dev/93c4ae53-de39-411b-9d0a-162afe5e8cc5","OpenPhish URL",""
"2024-05-06T12:22:03.669Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/89996bef-791b-4988-b599-b8460ab16b3d","2024-05-06T12:22:03.768Z","https://ch-dcf.pages.dev/89996bef-791b-4988-b599-b8460ab16b3d","OpenPhish URL",""
"2024-05-06T12:22:03.669Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/f0ab5773-fea6-43fe-bb23-8fc1190340a2","2024-05-06T12:22:03.774Z","https://sde-b9l.pages.dev/f0ab5773-fea6-43fe-bb23-8fc1190340a2","OpenPhish URL",""
"2024-05-06T12:22:04.008Z","Url","TLP:CLEAR","https://airohk.com/zim/zimbramailtxt","2024-05-06T12:22:04.315Z","https://airohk.com/zim/zimbramailtxt","OpenPhish URL",""
"2024-05-06T12:22:04.249Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/799a124f-2cbe-4753-9674-9612d5ae1947","2024-05-06T12:22:04.372Z","https://sde-b9l.pages.dev/799a124f-2cbe-4753-9674-9612d5ae1947","OpenPhish URL",""
"2024-05-06T12:22:04.249Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/46fc0fe8-90e6-40e8-89cb-c31faa1f56c6","2024-05-06T12:22:04.382Z","https://piv-cfe.pages.dev/46fc0fe8-90e6-40e8-89cb-c31faa1f56c6","OpenPhish URL",""
"2024-05-06T12:22:04.523Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/6046f77b-0027-428d-82f8-9747446960d9","2024-05-06T12:22:04.928Z","https://ch-dcf.pages.dev/6046f77b-0027-428d-82f8-9747446960d9","OpenPhish URL",""
"2024-05-06T12:22:04.523Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/45feff82-13b1-40e0-96e9-9fabef3714a5","2024-05-06T12:22:04.920Z","https://ch-dcf.pages.dev/45feff82-13b1-40e0-96e9-9fabef3714a5","OpenPhish URL",""
"2024-05-06T12:22:04.527Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/25c574bd-0d55-4454-9900-6b6e4a1bd480","2024-05-06T12:22:04.929Z","https://ch-dcf.pages.dev/25c574bd-0d55-4454-9900-6b6e4a1bd480","OpenPhish URL",""
"2024-05-06T12:22:05.091Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/a73dd02c-11ce-4827-9396-89e4306b23eb","2024-05-06T12:22:05.189Z","https://piv-cfe.pages.dev/a73dd02c-11ce-4827-9396-89e4306b23eb","OpenPhish URL",""
"2024-05-06T12:22:05.091Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/34520882-73f8-433f-8575-165174a89e95","2024-05-06T12:22:05.188Z","https://piv-cfe.pages.dev/34520882-73f8-433f-8575-165174a89e95","OpenPhish URL",""
"2024-05-06T12:22:05.096Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/8bceb1f3-8d61-4cf7-a273-b80e2fdf04e1","2024-05-06T12:22:05.191Z","https://ch-dcf.pages.dev/8bceb1f3-8d61-4cf7-a273-b80e2fdf04e1","OpenPhish URL",""
"2024-05-06T12:22:05.672Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/5009ffa2-c604-4e29-bff5-86083812c0a7","2024-05-06T12:22:05.698Z","https://piv-cfe.pages.dev/5009ffa2-c604-4e29-bff5-86083812c0a7","OpenPhish URL",""
"2024-05-06T12:22:05.737Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/cd9cb378-7351-41bf-a1c6-8de5cc2f6c6e","2024-05-06T12:22:05.785Z","https://ch-dcf.pages.dev/cd9cb378-7351-41bf-a1c6-8de5cc2f6c6e","OpenPhish URL",""
"2024-05-06T12:22:05.744Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/b2d7f018-c7dc-415d-81f9-c895f1ac27d6","2024-05-06T12:22:05.851Z","https://sde-b9l.pages.dev/b2d7f018-c7dc-415d-81f9-c895f1ac27d6","OpenPhish URL",""
"2024-05-06T12:22:06.217Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/c42f26b3-4129-4514-b0c3-7d9c436d6c17","2024-05-06T12:22:06.266Z","https://piv-cfe.pages.dev/c42f26b3-4129-4514-b0c3-7d9c436d6c17","OpenPhish URL",""
"2024-05-06T12:22:06.299Z","Url","TLP:CLEAR","https://sde-b9l.pages.dev/7d8f7383-98b0-4d24-aea2-4df3c0e26eb2","2024-05-06T12:22:06.342Z","https://sde-b9l.pages.dev/7d8f7383-98b0-4d24-aea2-4df3c0e26eb2","OpenPhish URL",""
"2024-05-06T12:22:06.310Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/01055921-a9f6-45b5-863a-a0f06b984c2d","2024-05-06T12:22:06.377Z","https://piv-cfe.pages.dev/01055921-a9f6-45b5-863a-a0f06b984c2d","OpenPhish URL",""
"2024-05-06T12:22:06.533Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/baa983ac-08e7-4574-88f5-ac8ba71ae06a","2024-05-06T12:22:06.829Z","https://ch-dcf.pages.dev/baa983ac-08e7-4574-88f5-ac8ba71ae06a","OpenPhish URL",""
"2024-05-06T12:22:06.888Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/c80f80bf-9f9e-4e9c-9e80-d592c9955b57","2024-05-06T12:22:07.003Z","https://piv-cfe.pages.dev/c80f80bf-9f9e-4e9c-9e80-d592c9955b57","OpenPhish URL",""
"2024-05-06T12:22:06.929Z","Url","TLP:CLEAR","https://piv-cfe.pages.dev/638b2252-2a8c-4423-9619-6bce1359ef4b","2024-05-06T12:22:07.005Z","https://piv-cfe.pages.dev/638b2252-2a8c-4423-9619-6bce1359ef4b","OpenPhish URL",""
"2024-05-06T12:22:07.191Z","Url","TLP:CLEAR","https://ch-dcf.pages.dev/a7786fad-8032-4b85-be43-73a10bfa5ec4","2024-05-06T12:22:07.258Z","https://ch-dcf.pages.dev/a7786fad-8032-4b85-be43-73a10bfa5ec4","OpenPhish URL",""
