"created_at","decryption_key","encryption_algorithm","entity_type","hashes","objectMarking","observable_value","payload_bin","updated_at","url","x_opencti_description","x_opencti_score","hashes.MD5","hashes_SHA-1","hashes_SHA-256","hashes_SHA-512","hashes_SSDEEP"
"2024-05-06T15:26:24.145Z","","","Artifact","","TLP:CLEAR","079539f1ceffde2ff98477450dee6b4fb440f325f46f2e97f098a97929977d13b133a87ee3ff51e1775d268cb5adebc992de2653c43f0c355523c3ca594675f6","","2024-05-06T15:26:27.071Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","418370525b6c4d38a52f7a089db1aed23cad469b","01eb99c80c8d236512db3e98d0f6bf22414b6caa71c223e3e007abaa6d39de05","079539f1ceffde2ff98477450dee6b4fb440f325f46f2e97f098a97929977d13b133a87ee3ff51e1775d268cb5adebc992de2653c43f0c355523c3ca594675f6",""
"2024-05-06T15:26:27.778Z","","","Artifact","","TLP:CLEAR","d5388f017fd5606cb9f229d48d4dc2efba1c1d44198d939ed774260bb2f6a39a5ccc1a4cb3755f7e8afe6cf57068b2280ad76909747b2fa81b9fe985525cfeb0","","2024-05-06T15:26:31.729Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","41173392929f96617615f10af79b0e6a2884a71f","9c16ab11e61efa200757f2e394433ea516c401aa5b1ffbba80e15bd157395867","d5388f017fd5606cb9f229d48d4dc2efba1c1d44198d939ed774260bb2f6a39a5ccc1a4cb3755f7e8afe6cf57068b2280ad76909747b2fa81b9fe985525cfeb0",""
"2024-05-06T15:26:32.645Z","","","Artifact","","TLP:CLEAR","f9a94d3ce3c38e6b84b2b0d84e3442d01516261e344403a838e7c00b9375c40f572e7992b396ec217706effe23edf195c2f01256f8b2d0f38d9e86f15afc438d","","2024-05-06T15:26:41.647Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","474cc872e4186efb83e11b8f4d58d51e4e9e60f4","c63becbd2149ed9c4d4acfb03f28ac6a8d6d12ab2ac18b21b6ca029064e1b1f1","f9a94d3ce3c38e6b84b2b0d84e3442d01516261e344403a838e7c00b9375c40f572e7992b396ec217706effe23edf195c2f01256f8b2d0f38d9e86f15afc438d",""
"2024-05-06T15:26:43.013Z","","","Artifact","","TLP:CLEAR","bba855a2555167fd57dab5166ed4339c7174684b531fb1f77814e7b61b21f26b73a5a62869d1676d6b0cdc2f0979a377a45ec9d228df37c15d766e42bae5a3b9","","2024-05-06T15:26:45.743Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","47ba3440122f65241dfa6da1d6f2594ad9d04f5f","949576cda75f413ceae418055e1dc90ea298eba7bcc0939e66642e488c61efed","bba855a2555167fd57dab5166ed4339c7174684b531fb1f77814e7b61b21f26b73a5a62869d1676d6b0cdc2f0979a377a45ec9d228df37c15d766e42bae5a3b9",""
"2024-05-06T15:26:46.343Z","","","Artifact","","TLP:CLEAR","1ee6e7421003403c9bab888368c690ac06ec4a5b3f32102c633acd6b5738bedc5e4c26a8aab088cc91fe97f230bb2229287a629aacd0dac50597cbafc7b92a1d","","2024-05-06T15:26:49.937Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","58957dcc257c8535415a97c33288032dea14fb3c","dee66d622a2e24039e23cc28aaa05fa19407dd04b8433abf9e258ad6c77b8c9d","1ee6e7421003403c9bab888368c690ac06ec4a5b3f32102c633acd6b5738bedc5e4c26a8aab088cc91fe97f230bb2229287a629aacd0dac50597cbafc7b92a1d",""
"2024-05-06T15:26:50.670Z","","","Artifact","","TLP:CLEAR","a6ed025f24526e51d74a3e51c44b99b998b7e798fa52f3ed6bbd0fe9026ad3e6cec3befda8d8e3f68d276737817a95222eaa2148fac619624549733e9ce3edbb","","2024-05-06T15:26:54.818Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","b43e2b96adf4b9e3b56229eaefad858cf1d019a4","ffbb66abcea2245beef8c5419beda1f3ab56fd76f925c0c5d119c32c70f82251","a6ed025f24526e51d74a3e51c44b99b998b7e798fa52f3ed6bbd0fe9026ad3e6cec3befda8d8e3f68d276737817a95222eaa2148fac619624549733e9ce3edbb",""
"2024-05-06T15:26:55.453Z","","","Artifact","","TLP:CLEAR","eeb6fc0de483922ca213ad581fbdb81483eddd4ad4366627c424c4ec7e831dd9e476673c5957831e566b3c97a2eec787c044ad249f3cdcdd4e7be50d27216c41","","2024-05-06T15:26:58.472Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","cfd1497acf9477c752f9d7aab0a20a4632a7dbfd","8bf4fa411c585cde2a748506c0b6c27fb38e364bc4ccf2fd42c058e09ee30ac2","eeb6fc0de483922ca213ad581fbdb81483eddd4ad4366627c424c4ec7e831dd9e476673c5957831e566b3c97a2eec787c044ad249f3cdcdd4e7be50d27216c41",""
"2024-05-06T15:26:59.261Z","","","Artifact","","TLP:CLEAR","4fee061f9e6b9641e13ef08143f52be37d1c0dd4ce7443f8faeb099512cda2168fe5198cf66fdfa82f499548e745d3a1c4ca5f51d9587a01d511368bb5ac7663","","2024-05-06T15:27:04.579Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","3aff47498a8edc0b652e8466f58584c9cd0226d2","7841c3088350bd0ce37cd17dcb8d6126c749dc4f5ad066b729ba9988c0e5dd30","4fee061f9e6b9641e13ef08143f52be37d1c0dd4ce7443f8faeb099512cda2168fe5198cf66fdfa82f499548e745d3a1c4ca5f51d9587a01d511368bb5ac7663",""
"2024-05-06T15:27:05.435Z","","","Artifact","","TLP:CLEAR","f91595fadfa164eca28560c8297c67d5c8b5935d016375736069d4ea95d5bf8b26d778e4cdf70f1a08eee079aaebb52971693f64f78972cd4bb4b4914f4334c4","","2024-05-06T15:27:09.429Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","29b678d0d4a15b37f84794e0a2e80bca913bc9b3","c135aec6b70ee259850983528f4ae2f7c0055466073fc3c7d40e9589be54e2d1","f91595fadfa164eca28560c8297c67d5c8b5935d016375736069d4ea95d5bf8b26d778e4cdf70f1a08eee079aaebb52971693f64f78972cd4bb4b4914f4334c4",""
"2024-05-06T15:27:10.314Z","","","Artifact","","TLP:CLEAR","53603fcd19f373f14d64916c9404a966e446ea0505d5cad3555eeb73eef4ddb4462521d295ec5e4beb079d496e62981ba1af4a836473494ef2eeac52784931da","","2024-05-06T15:27:13.613Z","","Uploaded to MalwareBazaar by Twitter user: zbetcheckin.","","","96a602102e4a145a83875cf27c07849ef635f72c","36073cca778ff35e9fa8ff415de572aa358babf4f65f779396b2e39d572b3749","53603fcd19f373f14d64916c9404a966e446ea0505d5cad3555eeb73eef4ddb4462521d295ec5e4beb079d496e62981ba1af4a836473494ef2eeac52784931da",""
