"created_at","entity_type","objectLabel","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-10-30T13:05:38.175Z","Domain-Name","phishing","TLP:CLEAR","canada.post-postzscanadaca.cc","2024-10-30T13:05:38.231Z","canada.post-postzscanadaca.cc","Phishingarmy URL",""
"2024-10-30T13:05:38.286Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadanazi.top","2024-10-30T13:05:38.323Z","canada.postcanadanazi.top","Phishingarmy URL",""
"2024-10-30T13:05:38.364Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadanbaj.top","2024-10-30T13:05:38.387Z","canada.postcanadanbaj.top","Phishingarmy URL",""
"2024-10-30T13:05:38.369Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadanbbb.top","2024-10-30T13:05:38.393Z","canada.postcanadanbbb.top","Phishingarmy URL",""
"2024-10-30T13:05:38.437Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadankga.top","2024-10-30T13:05:38.463Z","canada.postcanadankga.top","Phishingarmy URL",""
"2024-10-30T13:05:38.460Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadankyo.top","2024-10-30T13:05:38.481Z","canada.postcanadankyo.top","Phishingarmy URL",""
"2024-10-30T13:05:38.466Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadanlwu.top","2024-10-30T13:05:38.504Z","canada.postcanadanlwu.top","Phishingarmy URL",""
"2024-10-30T13:05:38.582Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadanmii.top","2024-10-30T13:05:38.617Z","canada.postcanadanmii.top","Phishingarmy URL",""
"2024-10-30T13:05:38.625Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadanmxr.top","2024-10-30T13:05:38.676Z","canada.postcanadanmxr.top","Phishingarmy URL",""
"2024-10-30T13:05:38.639Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadannbg.top","2024-10-30T13:05:38.706Z","canada.postcanadannbg.top","Phishingarmy URL",""
"2024-10-30T13:05:38.758Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadanonj.top","2024-10-30T13:05:38.843Z","canada.postcanadanonj.top","Phishingarmy URL",""
"2024-10-30T13:05:38.838Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadanutz.top","2024-10-30T13:05:38.899Z","canada.postcanadanutz.top","Phishingarmy URL",""
"2024-10-30T13:05:38.883Z","Domain-Name","phishing","TLP:CLEAR","canada.postcanadanzfu.top","2024-10-30T13:05:38.949Z","canada.postcanadanzfu.top","Phishingarmy URL",""
"2024-10-30T13:05:39.011Z","Domain-Name","phishing","TLP:CLEAR","canadapost-postescanadaba.top","2024-10-30T13:05:39.045Z","canadapost-postescanadaba.top","Phishingarmy URL",""
"2024-10-30T13:05:39.037Z","Domain-Name","phishing","TLP:CLEAR","canadapost-postescanadabc.top","2024-10-30T13:05:39.106Z","canadapost-postescanadabc.top","Phishingarmy URL",""
